X,Y,OBJECTID,GEOID10,CTBG10,CT10,AreaSqMil,LABEL,FIP10,FIP10RV,CDP_NAME,CITYNAME,COMMNAME,ShapeSTAre,ShapeSTLen,to_int_GEO,GEOID_int,to_int_g_1,geo_id_str,nat_prop,DECENNIALS,DECENNIA_1,DECENNIA_2,DECENNIA_3,DECENNIA_4,Hub distan,Hub dist_1,Hub dist_2,Hub dist_3,Hub dist_4,Hub dist_5,Hub dist_6,Hub dist_7,Hub dist_8,Hub dist_9,Hub dist10,Hub dist11,Hub dist12,Hub dist13,Hub dist14,Hub dist15,Hub dist16,Hub dist17,Hub dist18,Hub dist19,Hub dist20,Hub dist21,Hub dist22,NUMEXITS,PB
-13154655.0321683,4025864.91171524,"1504","060375338062","5338062","533806",0.0906000000,BG 2,"04870","04870",Bell,Bell,City of Bell,2526574.1494000000,8495.3139922000,,,"-2147483648","60375338062",332.8530000000,"Block Group 2, Census Tract 5338.06, Los Angeles County, California","868","277","591",,"1504","5338062","533806",0.0906000000,BG 2,"04870","04870",Bell,Bell,City of Bell,2526574.1494000000,8495.3139922000,,,"-2147483648","60375338062","Block Group 2, Census Tract 5338.06, Los Angeles County, California","868","277","591",,Long Beach Fwy,0.3834708127,4.0000000000,736.7150000000
-13152931.8874791,4026982.00336773,"5765","060375323042","5323042","532304",2.9453000000,BG 2,"14974","14974",Commerce,Commerce,City of Commerce,82111610.6529999971,50963.6996920000,,,"-2147483648","60375323042",706.6270000000,"Block Group 2, Census Tract 5323.04, Los Angeles County, California","597","190","407",,"5765","5323042","532304",2.9453000000,BG 2,"14974","14974",Commerce,Commerce,City of Commerce,82111610.6529999971,50963.6996920000,,,"-2147483648","60375323042","Block Group 2, Census Tract 5323.04, Los Angeles County, California","597","190","407",,Santa Ana Fwy,1.1836300853,36.0000000000,364.7120000000
-13155790.5074205,4026560.45725748,"4511","060375337022","5337022","533702",0.0415000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,1156707.7069999999,4850.7537529000,,,"-2147483648","60375337022",1222.9140000000,"Block Group 2, Census Tract 5337.02, Los Angeles County, California","1135","398","737",,"4511","5337022","533702",0.0415000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,1156707.7069999999,4850.7537529000,,,"-2147483648","60375337022","Block Group 2, Census Tract 5337.02, Los Angeles County, California","1135","398","737",,Long Beach Fwy,1.0774576818,14.0000000000,1159.1600000000
-13156163.6629147,4026612.18878775,"4516","060375337021","5337021","533702",0.0836000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,2331828.1348000001,6152.9912821000,,,"-2147483648","60375337021",2690.8480000000,"Block Group 1, Census Tract 5337.02, Los Angeles County, California","2158","815","1343",,"4516","5337021","533702",0.0836000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,2331828.1348000001,6152.9912821000,,,"-2147483648","60375337021","Block Group 1, Census Tract 5337.02, Los Angeles County, California","2158","815","1343",,Long Beach Fwy,1.2469176055,12.0000000000,2163.6490000000
-13154761.3316192,4026496.56127702,"4747","060375337032","5337032","533703",0.2406000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,6706991.2559000002,13132.6645700000,,,"-2147483648","60375337032",368.7020000000,"Block Group 2, Census Tract 5337.03, Los Angeles County, California","2326","874","1452",,"4747","5337032","533703",0.2406000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,6706991.2559000002,13132.6645700000,,,"-2147483648","60375337032","Block Group 2, Census Tract 5337.03, Los Angeles County, California","2326","874","1452",,I- 710,0.1585135247,12.0000000000,2144.8690000000
-13155468.4756983,4026780.87232342,"4973","060375337031","5337031","533703",0.0889000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,2477174.2168000001,8667.9743097000,,,"-2147483648","60375337031",986.6950000000,"Block Group 1, Census Tract 5337.03, Los Angeles County, California","1511","542","969",,"4973","5337031","533703",0.0889000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,2477174.2168000001,8667.9743097000,,,"-2147483648","60375337031","Block Group 1, Census Tract 5337.03, Los Angeles County, California","1511","542","969",,Long Beach Fwy,0.6530077544,22.0000000000,1562.5720000000
-13158106.3701876,4026731.0862337,"4975","060375335012","5335012","533501",0.0901000000,BG 2,"36056","36056",Huntington Park,Huntington Park,City of Huntington Park,2511748.3555000001,8734.4514664000,,,"-2147483648","60375335012",2829.6180000000,"Block Group 2, Census Tract 5335.01, Los Angeles County, California","1171","366","805",,"4975","5335012","533501",0.0901000000,BG 2,"36056","36056",Huntington Park,Huntington Park,City of Huntington Park,2511748.3555000001,8734.4514664000,,,"-2147483648","60375335012","Block Group 2, Census Tract 5335.01, Los Angeles County, California","1171","366","805",,Long Beach Fwy,2.4164114579,8.0000000000,1126.9900000000
-13156602.6163752,4026745.01802277,"6158","060375334032","5334032","533403",0.0790000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,2201589.3213000000,6782.2312897000,,,"-2147483648","60375334032",1080.0360000000,"Block Group 2, Census Tract 5334.03, Los Angeles County, California","747","266","481",,"6158","5334032","533403",0.0790000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,2201589.3213000000,6782.2312897000,,,"-2147483648","60375334032","Block Group 2, Census Tract 5334.03, Los Angeles County, California","747","266","481",,Long Beach Fwy,1.4458307366,13.0000000000,754.0950000000
-13158321.4540325,4027674.60365663,"1503","060375333001","5333001","533300",0.0603000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,1681175.9502000001,8272.5456257000,,,"-2147483648","60375333001",2651.0250000000,"Block Group 1, Census Tract 5333, Los Angeles County, California","1109","435","674",,"1503","5333001","533300",0.0603000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,1681175.9502000001,8272.5456257000,,,"-2147483648","60375333001","Block Group 1, Census Tract 5333, Los Angeles County, California","1109","435","674",,Long Beach Fwy,2.3904640098,20.0000000000,1109.0000000000
-13159285.2750163,4029108.08876178,"5190","060375324001","5324001","532400",4.9960000000,BG 1,"82422","82422",Vernon,Vernon,City of Vernon,139279799.5000000000,68982.7670360000,,,"-2147483648","60375324001",237.9850000000,"Block Group 1, Census Tract 5324, Los Angeles County, California","92","21","71",,"5190","5324001","532400",4.9960000000,BG 1,"82422","82422",Vernon,Vernon,City of Vernon,139279799.5000000000,68982.7670360000,,,"-2147483648","60375324001","Block Group 1, Census Tract 5324, Los Angeles County, California","92","21","71",,Santa Ana Fwy,2.5867928348,56.0000000000,61.3320000000
-13155966.8860811,4027574.70173775,"3168","060375337011","5337011","533701",0.0528000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,1470808.4238000000,5470.5744709000,,,"-2147483648","60375337011",683.7430000000,"Block Group 1, Census Tract 5337.01, Los Angeles County, California","1223","454","769",,"3168","5337011","533701",0.0528000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,1470808.4238000000,5470.5744709000,,,"-2147483648","60375337011","Block Group 1, Census Tract 5337.01, Los Angeles County, California","1223","454","769",,Long Beach Fwy,0.5590699637,12.0000000000,1239.4440000000
-13158160.2812664,4027966.37412895,"4745","060375333002","5333002","533300",0.0735000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,2049912.2041000000,6137.4913885000,,,"-2147483648","60375333002",4650.0690000000,"Block Group 2, Census Tract 5333, Los Angeles County, California","2041","748","1293",,"4745","5333002","533300",0.0735000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,2049912.2041000000,6137.4913885000,,,"-2147483648","60375333002","Block Group 2, Census Tract 5333, Los Angeles County, California","2041","748","1293",,I- 710,2.2783289295,8.0000000000,1991.8160000000
