OBJECTID,GEOID10,CTBG10,CT10,AreaSqMil,LABEL,FIP10,FIP10RV,CDP_NAME,CITYNAME,COMMNAME,ShapeSTAre,ShapeSTLen,to_int_GEO,GEOID_int,to_int_g_1,geo_id_str,nat_prop,DECENNIALS,DECENNIA_1,DECENNIA_2,DECENNIA_3,DECENNIA_4,Hub distan,Hub dist_1,Hub dist_2,Hub dist_3,Hub dist_4,Hub dist_5,Hub dist_6,Hub dist_7,Hub dist_8,Hub dist_9,Hub dist10,Hub dist11,Hub dist12,Hub dist13,Hub dist14,Hub dist15,Hub dist16,Hub dist17,Hub dist18,Hub dist19,Hub dist20,Hub dist21,Hub dist22,NUMEXITS,PB
"1504","060375338062","5338062","533806",0.090600000000000,BG 2,"04870","04870",Bell,Bell,City of Bell,2526574.149414062500000,8495.313992188832344,,,"60375338062","60375338062",332.853,"Block Group 2, Census Tract 5338.06, Los Angeles County, California","868","277","591",,"1504","5338062","533806",0.090600000000000,BG 2,"04870","04870",Bell,Bell,City of Bell,2526574.149414062500000,8495.313992188832344,,,"60375338062","60375338062","Block Group 2, Census Tract 5338.06, Los Angeles County, California","868","277","591",,Long Beach Fwy,0.383470812700484,4.000000000000000,736.715
"5765","060375323042","5323042","532304",2.945300000000000,BG 2,"14974","14974",Commerce,Commerce,City of Commerce,82111610.653320312500000,50963.699691612157039,,,"60375323042","60375323042",706.627,"Block Group 2, Census Tract 5323.04, Los Angeles County, California","597","190","407",,"5765","5323042","532304",2.945300000000000,BG 2,"14974","14974",Commerce,Commerce,City of Commerce,82111610.653320312500000,50963.699691612157039,,,"60375323042","60375323042","Block Group 2, Census Tract 5323.04, Los Angeles County, California","597","190","407",,Santa Ana Fwy,1.183630085283135,36.000000000000000,364.712
"4511","060375337022","5337022","533702",0.041500000000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,1156707.707031250000000,4850.753752916441044,,,"60375337022","60375337022",1222.914,"Block Group 2, Census Tract 5337.02, Los Angeles County, California","1135","398","737",,"4511","5337022","533702",0.041500000000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,1156707.707031250000000,4850.753752916441044,,,"60375337022","60375337022","Block Group 2, Census Tract 5337.02, Los Angeles County, California","1135","398","737",,Long Beach Fwy,1.077457681804348,14.000000000000000,1159.160
"4516","060375337021","5337021","533702",0.083600000000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,2331828.134765625000000,6152.991282070361194,,,"60375337021","60375337021",2690.848,"Block Group 1, Census Tract 5337.02, Los Angeles County, California","2158","815","1343",,"4516","5337021","533702",0.083600000000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,2331828.134765625000000,6152.991282070361194,,,"60375337021","60375337021","Block Group 1, Census Tract 5337.02, Los Angeles County, California","2158","815","1343",,Long Beach Fwy,1.246917605524149,12.000000000000000,2163.649
"4747","060375337032","5337032","533703",0.240600000000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,6706991.255859375000000,13132.664569918182679,,,"60375337032","60375337032",368.702,"Block Group 2, Census Tract 5337.03, Los Angeles County, California","2326","874","1452",,"4747","5337032","533703",0.240600000000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,6706991.255859375000000,13132.664569918182679,,,"60375337032","60375337032","Block Group 2, Census Tract 5337.03, Los Angeles County, California","2326","874","1452",,I- 710,0.158513524687366,12.000000000000000,2144.869
"4973","060375337031","5337031","533703",0.088900000000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,2477174.216796875000000,8667.974309665618421,,,"60375337031","60375337031",986.695,"Block Group 1, Census Tract 5337.03, Los Angeles County, California","1511","542","969",,"4973","5337031","533703",0.088900000000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,2477174.216796875000000,8667.974309665618421,,,"60375337031","60375337031","Block Group 1, Census Tract 5337.03, Los Angeles County, California","1511","542","969",,Long Beach Fwy,0.653007754428381,22.000000000000000,1562.572
"4975","060375335012","5335012","533501",0.090100000000000,BG 2,"36056","36056",Huntington Park,Huntington Park,City of Huntington Park,2511748.355468750000000,8734.451466425805847,,,"60375335012","60375335012",2829.618,"Block Group 2, Census Tract 5335.01, Los Angeles County, California","1171","366","805",,"4975","5335012","533501",0.090100000000000,BG 2,"36056","36056",Huntington Park,Huntington Park,City of Huntington Park,2511748.355468750000000,8734.451466425805847,,,"60375335012","60375335012","Block Group 2, Census Tract 5335.01, Los Angeles County, California","1171","366","805",,Long Beach Fwy,2.416411457924398,8.000000000000000,1126.990
"6158","060375334032","5334032","533403",0.079000000000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,2201589.321289062500000,6782.231289701766400,,,"60375334032","60375334032",1080.036,"Block Group 2, Census Tract 5334.03, Los Angeles County, California","747","266","481",,"6158","5334032","533403",0.079000000000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,2201589.321289062500000,6782.231289701766400,,,"60375334032","60375334032","Block Group 2, Census Tract 5334.03, Los Angeles County, California","747","266","481",,Long Beach Fwy,1.445830736635985,13.000000000000000,754.095
"1503","060375333001","5333001","533300",0.060300000000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,1681175.950195312500000,8272.545625720105818,,,"60375333001","60375333001",2651.025,"Block Group 1, Census Tract 5333, Los Angeles County, California","1109","435","674",,"1503","5333001","533300",0.060300000000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,1681175.950195312500000,8272.545625720105818,,,"60375333001","60375333001","Block Group 1, Census Tract 5333, Los Angeles County, California","1109","435","674",,Long Beach Fwy,2.390464009814533,20.000000000000000,1109.000
"5190","060375324001","5324001","532400",4.996000000000000,BG 1,"82422","82422",Vernon,Vernon,City of Vernon,139279799.500976562500000,68982.767036223827745,,,"60375324001","60375324001",237.985,"Block Group 1, Census Tract 5324, Los Angeles County, California","92","21","71",,"5190","5324001","532400",4.996000000000000,BG 1,"82422","82422",Vernon,Vernon,City of Vernon,139279799.500976562500000,68982.767036223827745,,,"60375324001","60375324001","Block Group 1, Census Tract 5324, Los Angeles County, California","92","21","71",,Santa Ana Fwy,2.586792834802849,56.000000000000000,61.332
